,Rank,Artist,Song,Year
1193,90,Dee Dee Sharp,Gravy,1962
1194,91,Jimmy Smith,Walk On The Wild Side,1962
1195,92,King Curtis,Soul Twist,1962
1196,93,Bobby Rydell,I’ll Never Dance Again,1962
1197,94,Ikettes,I’m Blue,1962
1198,95,Kingston Trio,Where Have All The Flowers Gone,1962
1199,96,Eddie Hodges,"(Girls, Girls, Girls) Were Made To Love",1962
1200,97,Gene Pitney,Town Without Pity,1962
1201,98,"Peter, Paul and Mary",If I Had A Hammer,1962
1202,99,Ronnie and The Hi-lites,I Wish That We Were Married,1962
1203,100,Beach Boys,Surfin’ Safari,1962
1204,1,Jimmy Gilmer and The Fireballs,Sugar Shack,1963
1205,2,Beach Boys,Surfin’ U.S.A.,1963
1206,3,Skeeter Davis,The End Of The World,1963
1207,4,Cascades,Rhythm Of The Rain,1963
1208,5,Chiffons,He’s So Fine,1963
1209,6,Bobby Vinton,Blue Velvet,1963
1210,7,Paul and Paula,Hey Paula,1963
1211,8,Little Stevie Wonder,Fingertips II,1963
1212,9,Village Stompers,Washington Square,1963
1213,10,Impressions,It’s All Right,1963
1214,11,Andy Williams,Can’t Get Used To Losing You,1963
1215,12,Angels,My Boyfriend’s Back,1963
1216,13,Kyu Sakamoto,Sukiyaki,1963
1217,14,Lesley Gore,She’s A Fool,1963
1218,15,Tymes,So Much In Love,1963
1219,16,"Peter, Paul and Mary",Puff (The Magic Dragon),1963
1220,17,"Peter, Paul and Mary",Blowin’ In The Wind,1963
1221,18,Dale and Grace,I’m Leaving It Up To You,1963
1222,19,Nino Tempo and April Stevens,Deep Purple,1963
1223,20,The Surfaris,Wipe Out,1963
1224,21,Al Martino,I Love You Because,1963
1225,22,Rebels,Wild Weekend,1963
1226,23,Bobby Darin,You’re The Reason I’m Living,1963
1227,24,Four Seasons,Walk Like A Man,1963
1228,25,Inez Foxx,Mockingbird,1963
1229,26,Little Peggy March,I Will Follow Him,1963
1230,27,Chantays,Pipeline,1963
1231,28,Jan and Dean,Surf City,1963
1232,29,Lesley Gore,It’s My Party,1963
1233,30,Eydie Gorme,Blame It On The Bossa Nova,1963
1234,31,Dovells,You Can’t Sit Down,1963
1235,32,Martha and The Vandellas,Heat Wave,1963
1236,33,Randy and The Rainbows,Denise,1963
1237,34,Rooftop Singers,Walk Right In,1963
1238,35,Jimmy Soul,If You Wanna Be Happy,1963
1239,36,Beach Boys,Surfer Girl,1963
1240,37,Trini Lopez,If I Had A Hammer,1963
1241,38,Tommy Roe,Everybody,1963
1242,39,Essex,Easier Said Than Done,1963
1243,40,Dion,Ruby Baby,1963
1244,41,Los Indios Tabajaras,Maria Elena,1963
1245,42,Ruby and The Romantics,Our Day Will Come,1963
1246,43,Skeeter Davis,I Can’t Stay Mad At You,1963
1247,44,Barbara Lewis,"Hello, Stranger",1963
1248,45,Ronettes,Be My Baby,1963
1249,46,Roy Orbison,Mean Woman Blues,1963
1250,47,Orlons,South Street,1963
1251,48,Henry Mancini,Days Of Wine And Roses,1963
1252,49,Major Lance,The Monkey Time,1963
1253,50,Four Seasons,Candy Girl,1963
1254,51,Bill Anderson,Still,1963
1255,52,Bobby Vinton,Blue On Blue,1963
1256,53,Garnet Mimms and The Enchanters,Cry Baby,1963
1257,54,Lou Christie,Two Faces Have I,1963
1258,55,Ray Charles,Busted,1963
1259,56,Crystals,Da Doo Ron Ron,1963
1260,57,Shirelles,Foolish Little Girl,1963
1261,58,Lonnie Mack,Memphis,1963
1262,59,Roy Orbison,In Dreams,1963
1263,60,Kal Winding,More,1963
1264,61,Rick Nelson,Fools Rush In,1963
1265,62,Brenda Lee,Losing You,1963
1266,63,Bill Pursell,Our Winter Love,1963
1267,64,Tony Bennett,I Wanna Be Around,1963
1268,65,Miracles,You’ve Really Got A Hold On Me,1963
1269,66,Jaynetts,Sally Go ‘Round The Roses,1963
1270,67,Sam Cooke,Little Red Rooster,1963
1271,68,Crystals,Then He Kissed Me,1963
1272,69,Elvis Presley,(You’re The) Devil In Disguise,1963
1273,70,Nat King Cole,Those Lazy Hazy Crazy Days Of Summer,1963
1274,71,Jackie Wilson,Baby Workout,1963
1275,72,Marvin Gaye,Pride And Joy,1963
1276,73,Rufus Thomas,Walking The Dog,1963
1277,74,Ned Miller,From A Jack To A King,1963
1278,75,Drifters,Up On The Roof,1963
1279,76,Johnny Mathis,What Will My Mary Say,1963
1280,77,Jan Bradley,Mama Didn’t Lie,1963
1281,78,Bobby Vee,The Night Has A Thousand Eyes,1963
1282,79,The Cookies,Don’t Say Nothin’ Bad About My Baby,1963
1283,80,Johnny Cash,Ring Of Fire,1963
1284,81,Doris Troy,Just One Look,1963
1285,82,Allan Sherman,"Hello Muddah, Hello Fadduh! (A Letter From Camp)",1963
1286,83,Lesley Gore,Judy’s Turn To Cry,1963
1287,84,Roll Harris,"Tie Me Kangaroo Down, Sport",1963
1288,85,Miracles,Mickey’s Monkey,1963
1289,86,Dion,"Donna, The Prima Donna",1963
1290,87,Nat King Cole,"That Sunday, That Summer",1963
1291,88,Sam Cooke,Another Saturday Night,1963
1292,89,Al Martino,"Painted, Tainted Rose",1963
1293,90,Dixiebelles With Cornbread and Jerry,(Down At) Papa Joe’s,1963
1294,91,Steve Lawrence,Go Away Little Girl,1963
1295,92,Ray Charles,Take These Chains From My Heart,1963
1296,93,Sunny and The Sunglows,Talk To Me,1963
1297,94,Martha and The Vandellas,Come And Get These Memories,1963
1298,95,Elvis Presley,Bossa Nova Baby,1963
1299,96,Dee Dee Sharp,Do The Bird,1963
1300,97,Beach Boys,Shut Down,1963
1301,98,Chiffons,One Fine Day,1963
1302,99,Bobby Bare,500 Miles Away From Home,1963
1303,100,Del Shannon,Little Town Flirt,1963
1304,1,Beatles,I Want To Hold Your Hand,1964
1305,2,Beatles,She Loves You,1964
1306,3,Louis Armstrong,"Hello, Dolly!",1964
1307,4,Roy Orbison,"Oh, Pretty Woman",1964
1308,5,Beach Boys,I Get Around,1964
1309,6,Dean Martin,Everybody Loves Somebody,1964
1310,7,Mary Wells,My Guy,1964
1311,8,Gale Garnett,We’ll Sing In The Sunshine,1964
1312,9,J. Frank Wilson and The Cavaliers,Last Kiss,1964
1313,10,Supremes,Where Did Our Love Go,1964
1314,11,Barbara Streissand,People,1964
1315,12,Al Hirt,Java,1964
1316,13,Beatles,A Hard Day’s Night,1964
1317,14,Beatles,Love Me Do,1964
1318,15,Manfred Mann,Do Wah Diddy Diddy,1964
1319,16,Beatles,Please Please Me,1964
1320,17,Martha and The Vandellas,Dancing In The Street,1964
1321,18,Billy J. Kramer and The Dakotas,Little Children,1964
1322,19,Ray Charles Singers,Love Me With All Your Heart,1964
1323,20,Drifters,Under The Boardwalk,1964
1324,21,Dixie Cups,Chapel Of Love,1964
1325,22,Terry Stafford,Suspicion,1964
1326,23,Dave Clark Five,Glad All Over,1964
1327,24,Four Seasons,Rag Doll,1964
1328,25,Four Seasons,Dawn (Go Away),1964
1329,26,Newbeats,Bread And Butter,1964
1330,27,Gene Pitney,It Hurts To Be In Love,1964
1331,28,Jan and Dean,Dead Man’s Curve,1964
1332,29,Jay and The Americans,Come A Little Bit Closer,1964
1333,30,Peter and Gordon,A World Without Love,1964
1334,31,Honeycombs,Have I The Right?,1964
1335,32,Serendipity Singers,Don’t Let The Rain Come Down (Crooked Little Man),1964
1336,33,Supremes,Baby Love,1964
1337,34,Betty Everett and Jerry Butler,Let It Be Me,1964
1338,35,Dusty Springfield,Wishin’ And Hopin’,1964
1339,36,Lesley Gore,You Don’t Own Me,1964
1340,37,Dionne Warwick,Walk On By,1964
1341,38,Animals,The House Of The Rising Sun,1964
1342,39,Ronny and The Daytona,G.T.O.,1964
1343,40,Beatles,Twist And Shout,1964
1344,41,Johnny Rivers,Memphis,1964
1345,42,Danny Williams,White On White,1964
1346,43,Rip Chords,Hey Little Cobra,1964
1347,44,Betty Everett,The Shoop Shoop Song (It’s In His Kiss),1964
1348,45,Dave Clark Five,Bits And Pieces,1964
1349,46,Millie Small,My Boy Lollipop,1964
1350,47,Major Lance,"Um, Um, Um, Um, Um, Um",1964
1351,48,Jan and Dean,The Little Old Lady,1964
1352,49,Gerry and The Pacemakers,Don’t Let The Sun Catch You Crying,1964
1353,50,Chad and Jeremy,A Summer Song,1964
1354,51,Stan Getz and Astrud Gilberto,The Girl From Ipanema,1964
1355,52,Beatles,Can’t Buy Me Love,1964
1356,53,Shangri-Las,Remember (Walkin’ In The Sand),1964
1357,54,Bobby Freeman,C’mon And Swim,1964
1358,55,Beatles,Do You Want To Know A Secret,1964
1359,56,Impressions,Keep On Pushing,1964
1360,57,Four Tops,Baby I Need Your Loving,1964
1361,58,Diane Renay,Navy Blue,1964
1362,59,Bachelors,Diane,1964
1363,60,Marketts,Out Of Limits,1964
1364,61,Hondells,Little Honda,1964
1365,62,Bobby Goldsboro,See The Funny Little Clown,1964
1366,63,Dave Clark Five,Because,1964
1367,64,Reflections,(Just Like) Romeo And Juliet,1964
1368,65,Rick Nelson,For You,1964
1369,66,New Christy Minstrels,Today,1964
1370,67,Dave Clark Five,Can’t You See That She’s Mine,1964
1371,68,Shangri-Las,Leader Of The Pack,1964
1372,69,Joe Hinton,Funny,1964
1373,70,Temptations,The Way You Do The Things You Do,1964
1374,71,Dionne Warwick,Anyone Who Had A Heart,1964
1375,72,Al Martino,I Love You More And More Every Day,1964
1376,73,Roy Orbison,It’s Over,1964
1377,74,Four Seasons,Ronnie,1964
1378,75,Trashmen,Surfin’ Bird,1964
1379,76,Tams,What Kind Of Fool (Do You Think I Am),1964
1380,77,Dean Martin,The Door Is Still Open To My Heart,1964
1381,78,Kinks,You Really Got Me,1964
1382,79,Sammy Davis Jr.,The Shelter Of Your Arms,1964
1383,80,Impressions,I’m So Proud,1964
1384,81,Jelly Beans,I Wanna Love Him So Bad,1964
1385,82,Roger Miller,Chug-a-lug,1964
1386,83,Roger Miller,Dang Me,1964
1387,84,Al Hirt,Cotton Candy,1964
1388,85,Nancy Wilson,(You Don’t Know) How Glad I Am,1964
1389,86,Kingsmen,Money,1964
1390,87,Searchers,Don’t Throw Your Love Away,1964
1391,88,Tommy Tucker,Hi-heel Sneakers,1964
1392,89,Gerry and The Pacemakers,How Do You Do It!,1964
1393,90,The Ventures,Walk Don’t Run,1964
1394,91,Dave Clark Five,Do You Love Me,1964
1395,92,"Robert Maxwell, His Harp and Orch.",Shangri-La,1964
1396,93,Gene Simmons,Haunted Houses,1964
1397,94,Jimmy Hughes,Steal Away,1964
1398,95,Beatles,I Saw Her Standing There,1964
1399,96,Andy Williams,A Fool Never Learns,1964
1400,97,Billy J. Kramer and The Dakotas,Bad To Me,1964
1401,98,Bobby Vinton,There! I’ve Said It Again,1964
1402,99,The Kingsmen,Louie Louie,1964
1403,100,Searchers,Needles And Pins,1964
1404,1,Sam The Sham and The Pharaohs,Wooly Bully,1965
1405,2,Four Tops,I Can’t Help Myself (Sugar Pie Honey Bunch),1965
1406,3,Rolling Stones,(I Can’t Get No) Satisfaction,1965
1407,4,We Five,You Were On My Mind,1965
1408,5,Righteous Brothers,You’ve Lost That Lovin’ Feelin’,1965
1409,6,Petula Clark,Downtown,1965
1410,7,Beatles,Help!,1965
1411,8,Herman’s Hermits,Can’t You Hear My Heartbeat,1965
1412,9,Elvis Presley,Crying In The Chapel,1965
1413,10,Temptations,My Girl,1965
1414,11,Beach Boys,"Help Me, Rhonda",1965
1415,12,Roger Miller,King Of The Road,1965
1416,13,Jewel Aikens,The Birds And The Bees,1965
1417,14,Mel Carter,"Hold Me, Thrill Me, Kiss Me",1965
1418,15,Jr. Walker and The All Stars,Shotgun,1965
1419,16,Sonny and Cher,I Got You Babe,1965
1420,17,Gary Lewis and The Playboys,This Diamond Ring,1965
1421,18,Ramsey Lewis Trio,The “In” Crowd,1965
1422,19,Herman’s Hermits,Mrs. Brown You’ve Got A Lovely Daughter,1965
1423,20,Supremes,Stop! In The Name Of Love,1965
1424,21,Righteous Brothers,Unchained Melody,1965
1425,22,Herman’s Hermits,Silhouettes,1965
1426,23,Seekers,I’ll Never Find Another You,1965
1427,24,Jay and The Americans,"Cara, Mia",1965
1428,25,Byrds,Mr. Tambourine Man,1965
1429,26,Sounds Orchestral,Cast Your Fate To The Wind,1965
1430,27,Barbara Mason,"Yes, I’m Ready",1965
1431,28,Tom Jones,What’s New Pussycat?,1965
1432,29,Barry McGuire,Eve Of Destruction,1965
1433,30,McCoys,Hang On Sloopy,1965
1434,31,Beatles,Ticket To Ride,1965
1435,32,Bert Kaempfert and His Orch.,Red Roses For A Blue Lady,1965
1436,33,James Brown and The Famous Flames,Papa’s Got A Brand New Bag,1965
1437,34,Wayne Fontana and The Mindbenders,Game Of Love,1965
1438,35,Shirley Ellis,The Name Game,1965
1439,36,Petula Clark,I Know A Place,1965
1440,37,Supremes,Back In My Arms Again,1965
1441,38,Barbara Lewis,Baby I’m Yours,1965
1442,39,Kingsmen,The Jolly Green Giant,1965
1443,40,Patti Page,"Hush, Hush, Sweet Charlotte",1965
1444,41,Bob Dylan,Like A Rolling Stone,1965
1445,42,Freddie and The Dreamers,I’m Telling You Now,1965
1446,43,Gerry and The Pacemakers,Ferry Cross The Mersey,1965
1447,44,Righteous Brothers,Just Once In My Life,1965
1448,45,Johnny Rivers,Seventh Son,1965
1449,46,Herman’s Hermits,"I’m Henry VIII, I Am",1965
1450,47,Horst Jankowski,A Walk In The Black Forest,1965
1451,48,Yardbirds,For Your Love,1965
1452,49,Beach Boys,California Girls,1965
1453,50,Moody Blues,Go Now,1965
1454,51,Shirley Bassey,Goldfinger,1965
1455,52,Billy Joe Royal,Down In The Boondocks,1965
1456,53,Glenn Yarbrough,Baby The Rain Must Fall,1965
1457,54,Dave Clark Five,Catch Us If You Can,1965
1458,55,Beatles,Eight Days A Week,1965
1459,56,Beau Brummels,Just A Little,1965
1460,57,Ian Whitcomb,You Turn Me On,1965
1461,58,Marvin Gaye,I’ll Be Doggone,1965
1462,59,Gary Lewis and The Playboys,Save Your Heart For Me,1965
1463,60,Kinks,Tired Of Waiting For You,1965
1464,61,Gary Lewis and The Playboys,Count Me In,1965
1465,62,Kinks,All Day And All Of The Night,1965
1466,63,Jackie DeShannon,What The World Needs Now Is Love,1965
1467,64,Tom Jones,It’s Not Unusual,1965
1468,65,Sir Douglas Quintet,She’s About A Mover,1965
1469,66,Sam Cooke,Shake,1965
1470,67,Herman’s Hermits,Wonderful World,1965
1471,68,Martha and The Vandellas,Nowhere To Run,1965
1472,69,Yardbirds,Heart Full Of Soul,1965
1473,70,Searchers,Love Potion Number Nine,1965
1474,71,Dickle Lee,Laurie (Strange Things Happen),1965
1475,72,Sonny and Cher,Baby Don’t Go,1965
1476,73,Turtles,It Ain’t Me Babe,1965
1477,74,Zombies,Tell Her No,1965
1478,75,Peter and Gordon,I Go To Pieces,1965
1479,76,Vic Dana,Red Roses For A Blue Lady,1965
1480,77,Patty Duke,Don’t Just Stand There,1965
1481,78,Miracles,The Tracks Of My Tears,1965
1482,79,Brenda Lee,Too Many Rivers,1965
1483,80,Dave Clark Five,I Like It Like That,1965
1484,81,Bobby Goldsboro,Little Things,1965
1485,82,Peter and Gordon,True Love Ways,1965
1486,83,Four Tops,It’s The Same Old Song,1965
1487,84,Fortunes,You’ve Got Your Troubles,1965
1488,85,Joe Tex,Hold What You’ve Got,1965
1489,86,Animals,We Gotta Get Out Of This Place,1965
1490,87,Beau Brummels,"Laugh, Laugh",1965
1491,88,Rolling Stones,The Last Time,1965
1492,89,Lovin’ Spoonful,Do You Believe In Magic,1965
1493,90,Cher,All I Really Want To Do,1965
1494,91,Little Anthony and The Imperials,Take Me Back,1965
1495,92,Strangeloves,I Want Candy,1965
1496,93,Miracles,Ooo Baby Baby,1965
1497,94,Sonny,Laugh At Me,1965
1498,95,Roy Head,Treat Her Right,1965
1499,96,Jack Jones,The Race Is On,1965
1500,97,"Dino, Desi and Billy",I’m A Fool,1965
1501,98,Ad Libs,The Boy From New York City,1965
1502,99,Del Shannon,Keep Searchin’,1965
1503,100,Marvin Gaye,How Sweet It Is (To Be Loved By You),1965
1504,1,Sgt. Barry Sadler,The Ballad Of The Green Berets,1966
1505,2,Association,Cherish,1966
1506,3,Righteous Brothers,(You’re My) Soul And Inspiration,1966
1507,4,Four Tops,Reach Out I’ll Be There,1966
1508,5,? and The Mysterians,96 Tears,1966
1509,6,Monkees,Last Train To Clarksville,1966
1510,7,Mama’s and The Papa’s,"Monday, Monday",1966
1511,8,Supremes,You Can’t Hurry Love,1966
1512,9,Johnny Rivers,Poor Side Of Town,1966
1513,10,Mama’s and The Papa’s,California Dreamin’,1966
1514,11,Lovin’ Spoonful,Summer In The City,1966
1515,12,Roger Williams,Born Free,1966
1516,13,Nancy Sinatra,These Boots Are Made For Walkin’,1966
1517,14,Jimmy Ruffin,What Becomes Of The Brokenhearted,1966
1518,15,Frank Sinatra,Strangers In The Night,1966
1519,16,Beatles,We Can Work It Out,1966
1520,17,Young Rascals,Good Lovin’,1966
1521,18,New Vaudeville Band,Winchester Cathedral,1966
1522,19,Tommy James and The Shondells,Hanky Panky,1966
1523,20,Percy Sledge,When A Man Loves A Woman,1966
1524,21,Rolling Stones,Paint It Black,1966
1525,22,Petula Clark,My Love,1966
1526,23,Lou Christie,Lightin’ Strikes,1966
1527,24,Troggs,Wild Thing,1966
1528,25,Paul Revere and The Raiders,Kicks,1966
1529,26,Donovan,Sunshine Superman,1966
1530,27,Bobby Hebb,Sunny,1966
1531,28,Beatles,Paperback Writer,1966
1532,29,Happenings,See You In September,1966
1533,30,Supremes,You Keep Me Hangin’ On,1966
1534,31,Sam The Sham and The Pharaohs,Lil’ Red Riding Hood,1966
1535,32,Mitch Ryder and The Detroit Wheels,Devil With A Blue Dress On and Good Golly Miss Molly (Medley),1966
1536,33,Beach Boys,Good Vibrations,1966
1537,34,Mindbenders,A Groovy Kind Of Love,1966
1538,35,Dusty Springfield,You Don’t Have To Say You Love Me,1966
1539,36,The Capitols,Cool Jerk,1966
1540,37,Sandy Posey,Born A Woman,1966
1541,38,Cyrkle,Red Rubber Ball,1966
1542,39,Carla Thomas,B-A-B-Y,1966
1543,40,Left Banke,Walk Away Renee,1966
1544,41,Lovin’ Spoonful,Daydream,1966
1545,42,Outsiders,Time Won’t Let Me,1966
1546,43,Tommy Roe,Hooray For Hazel,1966
1547,44,Tommy Roe,Sweet Pea,1966
1548,45,Hollies,Bus Stop,1966
1549,46,James and Bobby Purify,I’m Your Puppet,1966
1550,47,B.J. Thomas and The Triumphs,I’m So Lonesome I Could Cry,1966
1551,48,Temptations,Ain’t Too Proud To Beg,1966
1552,49,Standells,Dirty Water,1966
1553,50,Bob Lind,Elusive Butterfly,1966
1554,51,Simon and Garfunkel,I Am A Rock,1966
1555,52,Ray Charles,Crying Time,1966
1556,53,Johnny Rivers,Secret Agent Man,1966
1557,54,Simon and Garfunkel,The Sounds Of Silence,1966
1558,55,Peter and Gordon,Lady Godiva,1966
1559,56,Simon and Garfunkel,Homeward Bound,1966
1560,57,Lovin’ Spoonful,Did You Ever Have To Make Up Your Mind?,1966
1561,58,Robert Parker,Barefootin’,1966
1562,59,Stevie Wonder,Uptight (Everything’s Alright),1966
1563,60,Cher,Bang Bang,1966
1564,61,Beach Boys,Sloop John B,1966
1565,62,Rolling Stones,19th Nervous Breakdown,1966
1566,63,The Surfaris,Wipe Out,1966
1567,64,Count Five,Psychotic Reaction,1966
1568,65,Temptations,Beauty Is Only Skin Deep,1966
1569,66,T-Bones,No Matter What Shape (Your Stomach Is In),1966
1570,67,Paul Revere and The Raiders,Just Like Me,1966
1571,68,Deon Jackson,Love Makes The World Go Round,1966
1572,69,Crispian St. Peters,The Pied Piper,1966
1573,70,Brenda Lee,Coming On Strong,1966
1574,71,Ray Conniff and The Singers,Somewhere My Love,1966
1575,72,David Houston,Almost Persuaded,1966
1576,73,Bobby Darin,If I Were A Carpenter,1966
1577,74,Marvelettes,Don’t Mess With Bill,1966
1578,75,Neil Diamond,"Cherry, Cherry",1966
1579,76,Lee Dorsey,Working In The Coal Mine,1966
1580,77,Dionne Warwick,Message To Michael,1966
1581,78,Lou Rawls,Love Is A Hurtin’ Thing,1966
1582,79,Beach Boys,Barbara Ann,1966
1583,80,Shadows Of Knight,Gloria,1966
1584,81,Supremes,My World Is Empty Without You,1966
1585,82,Bob Dylan,Rainy Day Women #12 And 35,1966
1586,83,Sandpipers,Guantanamera,1966
1587,84,Wilson Pickett,"Land Of 1,000 Dances",1966
1588,85,Shades Of Blue,Oh How Happy,1966
1589,86,Peter and Gordon,Woman,1966
1590,87,Turtles,You Baby,1966
1591,88,Vogues,Five O’clock World,1966
1592,89,Los Bravos,Black Is Black,1966
1593,90,Beatles,Nowhere Man,1966
1594,91,Herman’s Hermits,Dandy,1966
1595,92,Slim Harpo,Baby Scratch My Back,1966
1596,93,Gary Lewis and The Playboys,She’s Just My Style,1966
1597,94,Chris Montez,The More I See You,1966
1598,95,Bobby Fuller Four,I Fought The Law,1966
1599,96,Beatles,Yellow Submarine,1966
1600,97,Paul Revere and The Raiders,Hungry,1966
1601,98,Herb Alpert and The Tijuana Brass,Zorba The Greek,1966
1602,99,Yardbirds,Shapes Of Things,1966
1603,100,Wilson Pickett,634-5789,1966
1604,1,Lulu,To Sir With Love,1967
1605,2,Box Tops,The Letter,1967
1606,3,Bobby Gentry,Ode To Billie Joe,1967
1607,4,Association,Windy,1967
1608,5,Monkees,I’m A Believer,1967
1609,6,Doors,Light My Fire,1967
1610,7,Nancy Sinatra and Frank Sinatra,Somethin’ Stupid,1967
1611,8,Turtles,Happy Together,1967
1612,9,Young Rascals,Groovin’,1967
1613,10,Frankie Valli,Can’t Take My Eyes Off You,1967
1614,11,Music Explosion,Little Bit O’ Soul,1967
1615,12,Tommy James and The Shondells,I Think We’re Alone Now,1967
1616,13,Aretha Franklin,Respect,1967
1617,14,Stevie Wonder,I Was Made To Love Her,1967
1618,15,Bobby Vee and The Strangers,Come Back When You Grow Up,1967
1619,16,Buckinghams,Kind Of A Drag,1967
1620,17,Arthur Conley,Sweet Soul Music,1967
1621,18,Soul Survivors,Expressway To Your Heart,1967
1622,19,Sam and Dave,Soul Man,1967
1623,20,Association,Never My Love,1967
1624,21,Jay and The Techniques,"Apples, Peaches, Pumpkin Pie",1967
1625,22,Every Mothers’ Son,Come On Down To My Boat,1967
1626,23,Strawberry Alarm Clock,Incense And Peppermints,1967
1627,24,Rolling Stones,Ruby Tuesday,1967
1628,25,Vicki Carr,It Must Be Him,1967
1629,26,Brenton Wood,Gimme Little Sign,1967
1630,27,Buffalo Springfield,For What It’s Worth,1967
1631,28,Supremes,Love Is Here And Now You’re Gone,1967
1632,29,Supremes,The Happening,1967
1633,30,Beatles,All You Need Is Love,1967
1634,31,Engelbert Humperdinck,Release Me (And Let Me Love Again),1967
1635,32,Marvin Gaye and Tammi Terrell,Your Precious Love,1967
1636,33,Jefferson Airplane,Somebody To Love,1967
1637,34,Esquires,Get On Up,1967
1638,35,Van Morrison,Brown Eyed Girl,1967
1639,36,Martha and The Vandella,Jimmy Mack,1967
1640,37,Happenings,I Got Rhythm,1967
1641,38,Procol Harum,A Whiter Shade Of Pale,1967
1642,39,Buckinghams,Don’t You Care,1967
1643,40,Casinos,Then You Can Tell Me Goodbye,1967
1644,41,Diana Ross and The Supremes,Reflections,1967
1645,42,Hollies,On A Carousel,1967
1646,43,Bobby Vinton,Please Love Me Forever,1967
1647,44,Dionne Warwick,Alfie,1967
1648,45,Tremeloes,Silence Is Golden,1967
1649,46,Ed Ames,My Cup Runneth Over,1967
1650,47,Fifth Dimension,"Up, Up And Away",1967
1651,48,Scott Mckenzie,San Francisco,1967
1652,49,Cowsills,"The Rain, The Park And Other Things",1967
1653,50,Herman’s Hermits,There’s A Kind Of Hush,1967
1654,51,Buckinghams,"Mercy, Mercy, Mercy",1967
1655,52,Petula Clark,This Is My Song,1967
1656,53,Jackie Wilson,(Your Love Keeps Lifting Me) Higher And Higher,1967
1657,54,Young Rascals,I’ve Been Lonely Too Long,1967
1658,55,Beatles,Penny Lane,1967
1659,56,Temptations,You’re My Everything,1967
1660,57,Seekers,Georgy Girl,1967
1661,58,Five Americans,Western Union,1967
1662,59,Aretha Franklin,Baby I Love You,1967
1663,60,Monkees,"A Little Bit You, A Little Bit Me",1967
1664,61,Lesley Gore,California Nights,1967
1665,62,Mama’s and The Papa’s,Dedicated To The One I Love,1967
1666,63,Young Rascals,How Can I Be Sure,1967
1667,64,Hollies,Carrie Ann,1967
1668,65,Blue Magoos,(We Ain’t Got) Nothin’ Yet,1967
1669,66,Easy Beats,Friday On My Mind,1967
1670,67,Bar-Kays,Soul Finger,1967
1671,68,Spencer Davis Group,Gimme Some Lovin’,1967
1672,69,Hombres,Let It Out (Let It All Hang Out),1967
1673,70,Grass Roots,Let’s Live For Today,1967
1674,71,Peaches and Herb,Close Your Eyes,1967
1675,72,Booker T and The MG’s,Groovin’,1967
1676,73,Wilson Pickett,Funky Broadway,1967
1677,74,Monkees,Pleasant Valley Sunday,1967
1678,75,Aretha Franklin,I Never Loved A Man (The Way I Love You),1967
1679,76,Aaron Neville,Tell It Like It Is,1967
1680,77,James Brown and The Famous Flames,Cold Sweat,1967
1681,78,Turtles,She’d Rather Be With Me,1967
1682,79,Keith,98.6,1967
1683,80,Ray Charles,Here We Go Again,1967
1684,81,Jefferson Airplane,White Rabbit,1967
1685,82,Four Tops,Bernadette,1967
1686,83,Sonny and Cher,The Beat Goes On,1967
1687,84,Royal Guardsmen,Snoopy Vs. The Red Baron,1967
1688,85,Janis Ian,Society’s Child,1967
1689,86,Neil Diamond,"Girl, You’ll Be A Woman Soon",1967
1690,87,Marvin Gaye and Tammi Terrell,Ain’t No Mountain High Enough,1967
1691,88,Sandy Posey,I Take It Back,1967
1692,89,Tremeloes,Here Comes My Baby,1967
1693,90,Robert Knight,Everlasting Love,1967
1694,91,"Peter, Paul and Mary",I Dig Rock And Roll Music,1967
1695,92,Bill Cosby,Little Ole Man (Uptight-Everything’s Alright),1967
1696,93,Electric Prunes,I Had Too Much To Dream Last Night,1967
1697,94,Monkees,Daydream Believer,1967
1698,95,Johnny Rivers,Baby I Need Your Lovin’,1967
1699,96,Who,I Can See For Miles,1967
1700,97,Tommy James and The Shondells,Mirage,1967
1701,98,Tom Jones,"Green, Green Grass Of Home",1967
1702,99,Petula Clark,Don’t Sleep In The Subway,1967
1703,100,Neil Diamond,Thank The Lord For The Night Time,1967
1704,1,Beatles,Hey Jude,1968
1705,2,Paul Mauriat,Love Is Blue,1968
1706,3,Bobby Goldsboro,Honey,1968
1707,4,Otis Redding,(Sittin’ On) The Dock Of The Bay,1968
1708,5,Rascals,People Got To Be Free,1968
1709,6,Cream,Sunshine Of Your Love,1968
1710,7,Herb Alpert,This Guy’s In Love With You,1968
1711,8,Hugo Montenegro,"The Good, The Bad And The Ugly",1968
1712,9,Simon and Garfunkel,Mrs. Robinson,1968
1713,10,Archie Bell and The Drells,Tighten Up,1968
1714,11,Jeannie C. Riley,Harper Valley P.T.A.,1968
1715,12,O.C. Smith,Little Green Apples,1968
1716,13,Tommy James and The Shondells,"Mony, Mony",1968
1717,14,Doors,"Hello, I Love You",1968
1718,15,Gary Puckett and The Union Gap,Young Girl,1968
1719,16,Box Tops,Cry Like A Baby,1968
1720,17,Fifth Dimension,Stoned Soul Picnic,1968
1721,18,Hugh Masekela,Grazing In The Grass,1968
1722,19,Grass Roots,Midnight Confessions,1968
1723,20,Sly and The Family Stone,Dance To The Music,1968
1724,21,Cliff Nobles and Co.,The Horse,1968
1725,22,Temptations,I Wish It Would Rain,1968
1726,23,Delfonics,La-La Means I Love You,1968
1727,24,Vogues,"Turn Around, Look At Me",1968
